"","slope","group","activity"
"1",0.0155156251944896,1,0.00465468755834688
"2",0.0204953845736248,2,0.00614861537208743
"3",0.0311457832788458,3,0.00934373498365375
"4",0.0362780573232562,4,0.0108834171969769
"5",0.0573060952897427,5,0.0171918285869228
"6",NA,6,NA
